Source,Target,Weight
1,2,1
1,3,1
1,5,1
1,6,1
1,7,2
1,9,2
1,11,1
1,12,1
1,14,2
1,18,2
1,22,1
1,23,1
1,26,1
1,30,1
1,32,2
1,33,1
1,34,1
1,35,1
1,36,2
1,39,2
1,40,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,3
1,48,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,58,2
1,59,2
1,60,1
1,62,1
1,63,3
1,64,3
1,65,1
1,66,2
1,70,2
1,75,1
1,76,1
1,78,1
1,82,1
1,83,1
1,84,1
1,87,1
1,88,1
1,90,1
2,3,4
2,4,2
2,5,2
2,6,4
2,7,1
2,8,2
2,9,3
2,11,3
2,12,2
2,13,2
2,14,4
2,15,2
2,16,3
2,17,2
2,18,3
2,19,3
2,20,3
2,21,1
2,22,3
2,23,1
2,24,2
2,25,2
2,26,3
2,27,1
2,28,3
2,29,2
2,30,3
2,31,1
2,32,1
2,33,2
2,35,4
2,39,1
2,40,1
2,41,1
2,43,1
2,44,1
2,45,1
2,47,2
2,48,1
2,49,1
2,51,2
2,52,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,65,5
2,68,1
2,69,1
2,74,1
2,77,1
2,78,1
2,80,2
2,81,1
2,82,1
2,83,1
2,84,3
2,85,2
2,86,1
2,88,1
2,89,1
2,90,2
2,91,1
2,93,1
3,4,3
3,5,2
3,6,3
3,7,1
3,8,3
3,9,3
3,11,3
3,12,2
3,13,2
3,14,3
3,15,2
3,16,3
3,17,1
3,18,2
3,19,2
3,20,3
3,22,2
3,23,2
3,24,1
3,25,2
3,26,2
3,27,1
3,28,2
3,29,2
3,30,2
3,32,1
3,33,1
3,35,3
3,38,1
3,40,2
3,44,1
3,48,1
3,50,1
3,51,1
3,52,1
3,56,1
3,58,1
3,65,5
3,79,1
3,80,1
3,83,1
3,84,2
3,85,1
3,86,1
3,89,1
3,90,1
3,91,1
4,5,2
4,6,2
4,7,1
4,8,4
4,9,2
4,10,1
4,11,2
4,12,2
4,13,3
4,14,1
4,15,3
4,16,2
4,17,3
4,18,2
4,19,2
4,20,3
4,22,1
4,23,1
4,24,1
4,25,2
4,26,1
4,27,1
4,28,2
4,29,2
4,30,2
4,31,1
4,35,1
4,38,2
4,40,1
4,50,2
4,52,1
4,54,1
4,56,2
4,58,2
4,60,1
4,61,1
4,63,1
4,65,3
4,68,1
4,71,1
4,72,1
4,79,1
4,82,1
4,84,1
4,89,1
4,91,1
5,6,2
5,7,1
5,8,2
5,9,2
5,10,1
5,11,1
5,12,3
5,13,2
5,14,2
5,15,2
5,16,1
5,17,2
5,18,2
5,19,1
5,20,2
5,22,2
5,25,1
5,26,1
5,27,1
5,29,3
5,30,3
5,31,1
5,32,2
5,35,2
5,38,1
5,54,1
5,56,1
5,58,1
5,60,1
5,61,1
5,63,1
5,65,2
5,68,1
5,71,1
5,84,2
5,85,1
6,7,1
6,8,2
6,9,3
6,11,3
6,12,2
6,13,2
6,14,3
6,15,2
6,16,2
6,17,2
6,18,3
6,19,2
6,20,3
6,21,1
6,22,3
6,23,1
6,24,2
6,25,2
6,26,3
6,28,2
6,29,1
6,30,3
6,31,1
6,32,1
6,33,1
6,34,1
6,35,3
6,39,1
6,40,1
6,41,2
6,43,1
6,45,1
6,46,1
6,47,2
6,48,1
6,49,1
6,52,1
6,56,1
6,57,1
6,58,1
6,59,1
6,60,1
6,65,4
6,68,1
6,69,1
6,74,1
6,77,1
6,78,1
6,80,1
6,81,1
6,82,1
6,84,3
6,85,1
6,86,1
6,88,1
6,89,1
6,90,1
6,91,1
6,93,1
7,8,1
7,9,1
7,10,1
7,12,2
7,13,1
7,14,1
7,15,1
7,16,1
7,19,2
7,20,1
7,21,1
7,23,1
7,25,3
7,26,1
7,29,2
7,33,1
7,34,2
7,36,1
7,37,1
7,39,1
7,42,1
7,43,1
7,44,2
7,46,1
7,48,1
7,49,1
7,50,1
7,51,1
7,52,1
7,53,1
7,54,1
7,55,1
7,56,1
7,57,1
7,59,2
7,60,1
7,61,1
7,62,2
7,63,2
7,64,2
7,65,1
7,66,1
7,68,1
7,69,1
7,72,1
7,73,1
7,75,1
7,76,3
7,77,2
7,78,1
7,79,2
7,80,2
7,82,2
7,83,1
7,87,1
7,88,1
7,89,1
7,92,1
7,93,2
8,9,2
8,11,2
8,12,1
8,13,2
8,14,1
8,15,2
8,16,2
8,17,2
8,18,1
8,19,2
8,20,2
8,22,2
8,23,1
8,24,1
8,25,2
8,26,1
8,28,2
8,29,2
8,30,2
8,31,1
8,32,1
8,35,2
8,38,1
8,40,1
8,50,1
8,52,1
8,56,1
8,58,1
8,65,3
8,72,1
8,79,1
8,84,2
8,85,1
8,91,1
9,11,3
9,12,2
9,13,2
9,14,3
9,15,2
9,16,2
9,17,1
9,18,2
9,19,2
9,20,2
9,22,2
9,23,1
9,24,1
9,25,2
9,26,2
9,28,2
9,29,1
9,30,2
9,32,1
9,34,1
9,35,3
9,39,1
9,40,2
9,45,1
9,46,1
9,52,1
9,56,1
9,65,3
9,83,2
9,84,2
9,86,1
9,91,1
10,12,1
10,13,1
10,15,1
10,17,1
10,18,1
10,20,1
10,23,1
10,25,1
10,26,1
10,27,1
10,29,1
10,30,1
10,32,1
10,38,1
10,39,1
10,52,1
10,54,1
10,56,3
10,57,1
10,58,1
10,60,1
10,61,1
10,62,1
10,63,1
10,68,2
10,69,1
10,71,1
10,73,1
10,76,1
10,77,2
10,78,1
10,79,1
10,80,1
10,93,1
11,12,1
11,13,1
11,14,2
11,15,1
11,16,1
11,17,2
11,18,3
11,19,1
11,20,2
11,21,1
11,22,3
11,23,1
11,24,2
11,25,1
11,26,3
11,28,4
11,30,3
11,31,2
11,32,1
11,34,1
11,35,4
11,38,1
11,39,1
11,40,2
11,41,1
11,43,1
11,45,1
11,47,1
11,49,1
11,50,1
11,52,1
11,56,3
11,57,1
11,58,2
11,59,1
11,60,1
11,65,4
11,68,1
11,69,1
11,74,1
11,77,1
11,78,1
11,79,1
11,80,1
11,81,1
11,82,1
11,83,1
11,84,3
11,85,1
11,86,2
11,88,1
11,89,1
11,90,1
11,91,1
11,93,1
12,13,2
12,14,2
12,15,3
12,16,1
12,17,1
12,18,2
12,19,2
12,20,2
12,21,1
12,22,2
12,25,3
12,26,1
12,27,1
12,29,3
12,30,2
12,32,1
12,35,1
12,37,1
12,38,1
12,48,1
12,49,1
12,51,1
12,52,1
12,53,1
12,54,2
12,55,1
12,56,1
12,58,1
12,59,1
12,60,2
12,61,3
12,62,1
12,63,2
12,64,1
12,65,2
12,68,2
12,69,1
12,70,1
12,71,1
12,72,1
12,73,1
12,76,2
12,77,2
12,78,1
12,79,1
12,80,2
12,82,1
12,83,1
12,84,2
12,89,1
12,91,1
12,92,1
12,93,2
13,14,1
13,15,3
13,16,3
13,17,2
13,18,2
13,19,2
13,20,3
13,22,1
13,23,1
13,24,1
13,25,2
13,26,1
13,27,1
13,28,1
13,29,3
13,30,2
13,35,1
13,38,1
13,40,1
13,52,1
13,54,1
13,56,1
13,58,1
13,60,1
13,61,1
13,63,1
13,65,2
13,68,1
13,71,1
13,84,1
13,85,1
13,86,1
13,87,1
13,88,1
13,91,1
14,15,1
14,16,1
14,17,1
14,18,2
14,19,1
14,20,2
14,21,1
14,22,2
14,24,1
14,25,2
14,26,2
14,28,1
14,29,1
14,30,3
14,31,1
14,32,1
14,33,1
14,35,3
14,39,2
14,41,1
14,43,2
14,44,1
14,45,4
14,46,2
14,47,2
14,48,1
14,49,1
14,50,1
14,51,1
14,56,1
14,57,1
14,58,1
14,59,1
14,60,1
14,65,4
14,68,1
14,69,1
14,72,1
14,74,1
14,77,1
14,78,1
14,80,2
14,81,1
14,82,1
14,83,2
14,84,2
14,85,2
14,86,2
14,88,1
14,89,1
14,90,2
14,93,1
15,16,2
15,17,2
15,18,2
15,19,2
15,20,3
15,22,1
15,23,1
15,24,1
15,25,3
15,26,1
15,27,1
15,28,1
15,29,2
15,30,2
15,35,1
15,38,1
15,40,1
15,52,1
15,53,1
15,54,1
15,56,1
15,58,1
15,59,1
15,60,1
15,61,1
15,63,1
15,65,2
15,68,1
15,71,1
15,76,1
15,77,1
15,78,1
15,80,1
15,84,1
15,91,2
15,93,1
16,17,1
16,18,1
16,19,2
16,20,3
16,22,1
16,23,2
16,24,1
16,25,2
16,26,1
16,27,1
16,28,2
16,29,2
16,30,1
16,33,1
16,35,1
16,40,1
16,47,1
16,51,1
16,52,1
16,65,2
16,79,1
16,84,1
16,85,1
16,88,1
16,91,1
17,18,3
17,19,1
17,20,3
17,21,1
17,22,3
17,23,1
17,24,2
17,25,1
17,26,2
17,27,1
17,28,2
17,29,2
17,30,4
17,31,3
17,32,1
17,35,3
17,38,1
17,39,1
17,40,1
17,41,1
17,43,1
17,45,1
17,47,1
17,49,1
17,50,1
17,52,1
17,54,1
17,56,2
17,57,1
17,58,2
17,59,1
17,60,2
17,61,1
17,63,1
17,65,2
17,68,2
17,69,1
17,71,1
17,74,1
17,77,1
17,78,1
17,80,1
17,81,1
17,82,2
17,84,3
17,85,2
17,86,1
17,88,1
17,89,1
17,90,1
17,91,1
17,93,1
18,19,1
18,20,3
18,21,2
18,22,3
18,23,2
18,24,3
18,25,1
18,26,4
18,27,2
18,28,2
18,29,1
18,30,4
18,31,1
18,32,2
18,35,3
18,36,1
18,38,1
18,39,1
18,40,2
18,41,1
18,43,1
18,45,1
18,46,1
18,47,1
18,48,1
18,49,1
18,51,1
18,52,2
18,54,2
18,56,2
18,57,1
18,58,3
18,59,1
18,60,3
18,61,1
18,63,1
18,64,1
18,65,3
18,66,1
18,68,2
18,69,1
18,70,1
18,71,1
18,74,1
18,77,1
18,78,1
18,80,1
18,81,1
18,82,1
18,84,3
18,85,1
18,86,1
18,88,1
18,89,1
18,90,2
18,91,1
18,93,1
19,20,2
19,21,1
19,22,1
19,23,1
19,24,1
19,25,3
19,26,1
19,27,1
19,28,1
19,29,3
19,30,1
19,35,1
19,37,1
19,40,1
19,48,1
19,49,1
19,50,1
19,51,1
19,52,2
19,54,1
19,60,1
19,61,1
19,62,1
19,63,1
19,64,1
19,65,2
19,69,1
19,72,1
19,73,1
19,76,1
19,77,1
19,79,1
19,80,1
19,82,1
19,83,1
19,84,1
19,89,1
19,91,1
19,92,1
19,93,1
20,21,1
20,22,2
20,23,2
20,24,2
20,25,2
20,26,2
20,27,2
20,28,2
20,29,3
20,30,3
20,31,1
20,35,3
20,38,2
20,39,1
20,40,1
20,41,1
20,43,1
20,45,1
20,47,1
20,49,1
20,52,1
20,54,1
20,56,2
20,57,1
20,58,3
20,59,1
20,60,2
20,61,1
20,63,1
20,65,3
20,67,1
20,68,2
20,69,1
20,71,2
20,74,2
20,77,1
20,78,1
20,80,1
20,81,1
20,82,1
20,84,2
20,85,1
20,86,1
20,88,1
20,89,1
20,90,1
20,91,1
20,93,1
21,22,1
21,24,2
21,25,1
21,26,2
21,27,1
21,28,1
21,29,1
21,30,1
21,31,1
21,35,1
21,37,2
21,39,1
21,41,1
21,43,1
21,44,1
21,45,1
21,46,1
21,47,1
21,48,1
21,49,2
21,51,1
21,52,1
21,54,2
21,56,1
21,57,1
21,58,1
21,59,1
21,60,2
21,61,2
21,62,1
21,63,1
21,64,1
21,65,1
21,68,1
21,69,2
21,72,1
21,73,1
21,74,1
21,76,2
21,77,2
21,78,1
21,79,1
21,80,2
21,81,2
21,82,2
21,83,1
21,84,1
21,85,2
21,86,2
21,87,1
21,88,1
21,89,3
21,90,1
21,92,1
21,93,2
22,23,1
22,24,2
22,25,1
22,26,3
22,28,2
22,29,1
22,30,4
22,31,2
22,32,2
22,35,4
22,39,1
22,40,1
22,41,1
22,43,1
22,45,1
22,47,1
22,49,1
22,52,1
22,55,1
22,56,1
22,57,1
22,58,1
22,59,1
22,60,1
22,61,1
22,65,3
22,68,2
22,69,1
22,70,1
22,74,1
22,77,1
22,78,1
22,80,1
22,81,1
22,82,1
22,84,5
22,85,2
22,86,1
22,88,1
22,89,1
22,90,1
22,91,1
22,93,1
23,24,1
23,25,1
23,26,1
23,27,1
23,28,1
23,29,1
23,30,1
23,32,1
23,34,1
23,35,1
23,36,1
23,40,2
23,44,1
23,46,1
23,48,1
23,51,1
23,52,2
23,54,1
23,58,1
23,59,1
23,60,1
23,62,1
23,64,1
23,65,1
23,66,1
23,70,1
23,84,1
23,90,1
23,91,1
24,25,1
24,26,3
24,27,1
24,28,2
24,30,2
24,31,1
24,35,2
24,39,1
24,40,1
24,41,1
24,43,1
24,45,1
24,47,1
24,49,1
24,52,1
24,56,1
24,57,1
24,58,1
24,59,1
24,60,1
24,65,2
24,68,1
24,69,1
24,74,1
24,77,1
24,78,1
24,80,1
24,81,1
24,82,1
24,84,2
24,85,1
24,86,1
24,88,1
24,89,1
24,90,1
24,91,1
24,93,1
25,26,2
25,28,1
25,29,2
25,30,2
25,35,1
25,37,1
25,39,1
25,40,1
25,45,1
25,46,1
25,47,1
25,48,1
25,49,1
25,50,1
25,51,1
25,52,2
25,53,1
25,54,1
25,56,1
25,57,1
25,59,1
25,60,1
25,61,1
25,62,2
25,63,1
25,64,1
25,65,2
25,68,1
25,69,1
25,71,1
25,72,2
25,73,1
25,75,1
25,76,3
25,77,3
25,78,2
25,79,3
25,80,3
25,82,1
25,83,1
25,84,1
25,86,1
25,89,1
25,91,2
25,92,1
25,93,3
26,27,1
26,28,2
26,30,3
26,31,1
26,32,1
26,35,3
26,39,2
26,40,1
26,41,1
26,43,1
26,45,1
26,47,1
26,49,1
26,52,1
26,56,2
26,57,2
26,58,1
26,59,1
26,60,1
26,65,3
26,66,1
26,68,2
26,69,1
26,73,1
26,74,1
26,75,1
26,76,1
26,77,2
26,78,1
26,79,1
26,80,2
26,81,1
26,82,2
26,83,1
26,84,3
26,85,1
26,86,1
26,88,3
26,89,1
26,90,1
26,91,1
26,92,1
26,93,2
27,29,3
27,30,1
27,38,1
27,54,1
27,56,1
27,58,1
27,60,1
27,61,1
27,63,1
27,68,1
27,71,1
28,30,2
28,31,1
28,33,1
28,34,1
28,35,3
28,38,1
28,39,1
28,40,2
28,41,1
28,43,1
28,45,1
28,47,2
28,49,1
28,50,1
28,51,1
28,52,1
28,56,3
28,57,1
28,58,2
28,59,1
28,60,1
28,65,3
28,68,1
28,69,1
28,74,1
28,77,1
28,78,1
28,79,1
28,80,1
28,81,1
28,82,1
28,83,1
28,84,2
28,85,1
28,86,2
28,88,1
28,89,1
28,90,1
28,91,1
28,93,1
29,30,2
29,31,1
29,32,1
29,35,1
