Id,Label,Poi,Latitude,Longitude,Tag01,Tag02,Tag03,Tag04,Tag05,Tag06,Tag07
1,"""Fight Night!"" energy on event nights. A Dominican-inspired brunch spot that turns into a lively party with DJs, karaoke, and board games. Garlic parm wings steal the show, and birthdays feel like a true celebration.","Kafe
",40.6966875867826,-73.9004593088977,Morning,LateNight,Bites,Cocktail,Karaoke,Dominican,BoardGames
2,"A sunlit café where locals return daily for rich coffee and perfectly made bacon, egg & cheese or lox bagels. Fast service, familiar faces, and a warm welcome make every visit feel special.","Brooklyn Barista
",40.6974359384833,-73.9068966102421,Cafe,Morning,Bagel,CoffeeLovers,Affordable,GrabAndGo,LocalFavorite
3,"A cozy café perfect for working, unwinding, or a relaxed brunch. Known for smooth lattes, fluffy pancakes, and a top-notch bacon, egg & cheese. Friendly staff and free coffee Wednesdays make it extra inviting.","Ridgewood’s Cafe & Lounge
",40.7025285798307,-73.9118271795068,Cafe,Morning,CoffeeLovers,DeliTaste,CozyVibe,WorkFriendly,Affordable
4,"A sunlit café with vintage wooden tables, lush greenery, and rustic charm. Taro lattes, golden croissants, and fresh juices pair with hearty vegetarian plates in a pet-friendly, cozy space.","Tikal cafe
",40.6913849137777,-73.9048894869029,Cafe,VegetarianFriendly,CoffeeLovers,JuiceBar,PetFriendly,CozyVibe,SpecialtyDrinks
5,"A cute café with a heartfelt touch, serving Filipino brunch favorites like Tapsilog and ube lattes. Thoughtful details, from warm decor to pop-punk playlists, make every visit feel extra special.","Café Pri
",40.6902622811211,-73.9061125741583,Cafe,Morning,Filipino,SpecialtyDrinks,BakeryFav,Cute,Thoughtful
6,"A no-seating coffee spot with bold brews, tamales on occasion, and a bacon egg and cheese that gets people talking. A morning pitstop with a punch.","La Raza Cafe
",40.6946550837179,-73.902722262117,Cafe,CoffeeLovers,Takeout,LocalFavorite,Tamales,BoldFlavors,Morning
7,"Retro vibes, filled with early risers and longtime locals. Known for its bacon, egg, and cheese at sunrise, sizzling home fries, and old-school counter service.","Bill's
",40.6962797763993,-73.902722262117,Diner,Morning,RetroVibes,CashOnly,BakeryFav,Bites,Morning
8,"A true late-night classic—fried chicken, pizza, and milkshakes under one roof, with generous portions and a no-nonsense vibe that keeps the neighborhood coming back.","Crown Fried Chicken
",40.6952958456446,-73.9204921467257,LateNight,FriedChicken,Pizza,GrabAndGo,Affordable,Takeout,Classic
9,"A burger spot where late-night cravings meet warm service—some orders miss the mark, but the sweet potato fries set a new standard. The staff? Some make you feel at home, others leave you waiting.","Bushwick Burger Co.
",40.6961995132077,-73.9095718755613,Burgers,SweetPotatoFries,LateNight,Friendly,ServiceConcern,Takeout,Casual
10,"A family-run spot where the owner remembers your usual, the scallion pancake breakfast sandwich is a must, and the backyard mural makes morning coffee feel like a little escape.","C&B Luncheonette
",40.6962772015312,-73.9049725510236,Morning,LocalFavorite,BakeryFav,Friendly,Backyard,CoffeeLovers,Affordable
11,"A 3 AM tostada, crisp and piled high, hits different when you’re slightly buzzed and starving. Birria burritos are thick and juicy, and the chimichanga meal is pure comfort.","Itzel's Taqueria Deli
",40.6979425913366,-73.9077301848231,Tacos,Bites,LateNight,Bites,Mexican,Chimichanga,Munchies
12,"A lively sports bar where Super Bowl Sundays feel like home—juicy burgers, crispy wings, and cold beer fuel the cheers. Fair prices, good vibes, and a playlist that never misses.","Punta Cana Sports Bar
",40.6914028278213,-73.909427437587,SportsBar,Burgers,Bites,CoffeeLovers,Game,EnergyVibe,CommunityHub
13,"A creative nightlife hub with drag shows, burlesque, and karaoke Sundays. A divey warehouse vibe, murals everywhere, and tacos that even a picky Mexican approves of.","The Deep End
",40.6945200550913,-73.902224123322,DragShows,Burlesque,Karaoke,Tacos,UndergroundVibes,Queer,ArtisticEnergy
14,"A true dive bar with green leather booths, cheap beer-shot combos, and the crispiest fried pickles. Pool table, pinball, and killer trivia nights make it a local favorite.","Bonus Room
",40.6962201581016,-73.9046810266684,DiveBar,Bites,PoolTable,CommunityHub,SpecialtyDrinks,Healing,CommunityHub
15,"A Brooklyn nightlife gem with a strict no-phones rule, 2-for-1 happy hour, free water stations, and DJs spinning until sunrise. Come for the music, stay for the tacos and outdoor hammocks.","Nowadays
",40.6926084041983,-73.9015374778453,DJCulture,NoPhones,HappyHour,DJCulture,LateNight,Tacos,OutdoorSeating
16,"A lively neighborhood bar where warm lighting, live jazz nights, and oversized cocktails set the perfect scene for a memorable night out, with friendly bartenders and a cozy, stylish interior.","Doublé
",40.6948333198753,-73.9062070646159,PerformanceVenue,EnergyVibe,CozyVibe,StylishInterior,Friendly,SpecialtyDrinks,LocalFavorite
17,"A gritty DIY venue on the Ridgewood-Bushwick line, where indie bands, raves, and brass ensembles collide. A massive backyard, booming sound system, cheap drinks, and unpredictable nights make it a local favorite.",Trans-Pecos,40.6974084626594,-73.9061601502108,DIYVenue,LocalFavorite,LocalFavorite,Backyard,Queer,UndergroundVibes,CheapDrinks
18,"An intimate underground venue where the bass hits deep, the crowd moves till sunrise, and the sound system either makes or breaks the night. Just wish water wasn’t $5 a bottle.",H0L0,40.6945507330252,-73.9021457107212,UndergroundVibes,MusicLovers,MusicLovers,NoFreeWater,LateNight,DJCulture,Chaos
19,"A creative sanctuary in Brooklyn where live music, performances, and community gatherings create an atmosphere of connection. A place for healing, artistic expression, and unforgettable nights filled with pure energy.","Rakit Club
",40.6913238371663,-73.9028424209739,PerformanceVenue,CommunityHub,Healing,LateNight,CommunityHub,ArtisticEnergy,MagicalMoments
20,"An intimate venue where local talent shines, with strong acoustics and a welcoming community. From all-ages shows to late-night sets, it’s a space built for music, art, and connection.","Stone Circle Theatre
",40.7015409932921,-73.8995453869029,PerformanceVenue,LocalFavorite,CommunityHub,Kids,EnergyVibe,PerformanceVenue,ArtisticEnergy